Киев	Київ
Харьков	Харків
Одесса	Одеса
Днепр	Дніпро
Донецк	Донецьк
Запорожье	Запоріжжя
Львов	Львів
Кривой Рог	Кривий Ріг
Николаев	Миколаїв
Мариуполь	Маріуполь
Луганск	Луганськ
Винница	Вінниця
Макеевка	Макіївка
Севастополь	Севастополь
Симферополь	Сімферополь
Херсон	Херсон
Полтава	Полтава
Чернигов	Чернігів
Черкассы	Черкаси
Житомир	Житомир
Сумы	Суми
Хмельницкий	Хмельницький
Черновцы	Чернівці
Горловка	Горлівка
Ровно	Рівне
Каменское	Кам’янське
Кропивницкий	Кропивницький
Ивано-Франковск	Івано-Франківськ
Кременчуг	Кременчук
Тернополь	Тернопіль
Луцк	Луцьк
Белая Церковь	Біла Церква
Краматорск	Краматорськ
Мелитополь	Мелітополь
Керчь	Керч
Никополь	
Славянск	Слов’янськ
Ужгород	Ужгород
Бердянск	Бердянськ
Алчевск	Алчевськ
Павлоград	Павлоград
Северодонецк	Сєвєродонецьк
Евпатория	Євпаторія
Лисичанск	Лисичанськ
Каменец-Подольский	Кам’янець-Подільський
Бровары	Бровари
Конотоп	Конотоп
Умань	Оман
Мукачево	Мукачево
Александрия	Олександрія
Хрустальный	Хрустальний
Енакиево	Єнакієве
Шостка	Шостка
Бердичев	Бердичів
Ялта	Альберта
Бахмут	Бахмут
Кадиевка	Кадіївка
Дрогобыч	Дрогобич
Константиновка	Костянтинівка
Нежин	Ніжин
Измаил	Ізмаїл
Новомосковск	Новомосковськ
Феодосия	Феодосія
Ковель	Ковель
Смела	Сміла
Червоноград	Червоноград
Калуш	Калуш
Первомайськ	Первомайськ
Коростень	Коростень
Должанск	
Покровск	
Коломыя	Коломия
Борисполь	Бориспіль
Рубежное	Рубіжне
Черноморск	Чорноморськ
Стрый	Стрий
Дружковка	Дружківка
Харцызск	Харцизьк
Прилуки	Прилуки
Лозовая	Лозова
Чистяково	
Новоград-Волынский	Новоград-Волинський
Энергодар	Енергодар
Антрацит	Антрацит
Нововолынск	Нововолинськ
Горишние Плавни	Горішні Плавні
Изюм	Ізюм
Шахтёрск	
Белгород-Днестровский	Білгород-Дністровський
Мирноград	Мирноград
Ахтырка	Охтирка
Марганец	Марганець
Фастов	Фастів
Снежное	Сніжне
Новая Каховка	Нова Каховка
Лубны	Лубни
Ровеньки	Ровеньки
Жёлтые Воды	Жовті Води
Брянка	Брянка
Светловодск	Світловодськ
Ирпень	Ірпінь
Сорокино	
Шепетовка	Шепетівка
Ромны	Ромни
Вараш	
Покров	
Миргород	Миргород
Подольск	Подольськ
Южноукраинск	Южноукраїнськ
Владимир-Волынский	Володимир
Первомайск	
Дубно	Дубно
Вишнёвое	Вишневе
Каховка	Каховка
Васильков	Васильків
Нетешин	Нетішин
Вознесенск	Вознесенськ
Славута	Славута
Ясиноватая	Ясинувата
Джанкой	Джанкой
Боярка	Боярка
Жмеринка	Жмеринка
Староконстантинов	Старокостянтинів
Авдеевка	Авдіївка
Самбор	Самбір
Борислав	Борислав
Торецк	Торецьк
Глухов	Глухів
Обухов	Обухів
Токмак	Токмак
Чугуев	Чугуїв
Могилёв-Подольский	Могилів-Подільський
Южн	
Костополь	Костопіль
Синельниково	Синельникове
Первомайский	
Доброполье	Добропілля
Новояворовск	Новояворівськ
Буча	Буча
Красноперекопск	Красноперекопськ
Чортков	Чортків
Балаклея	Балаклія
Трускавец	Трускавець
Купянск	Куп’янськ
Першотравенск	Першотравенськ
Новый Роздол	Новий Розділ
Терновка	Тернівка
Сарны	Сарни
Хуст	Хуст
Золотоноша	Золотоноша
Алушта	Алушта
Хмельник	Хмельник
Голубевка	
Крестовка	Кіровське
Переяслав	Переяслав
Малин	Малин
Вышгород	Вишгород
Бахчисарай	Бахчисарай
Гайсин	Гайсин
Коростышев	Коростишів
Лебедин	Лебедин
Перевальск	Перевальськ
Виноградов	Виноградів
Дебальцево	Дебальцеве
Канев	Канів
Алёшки	
Славутич	Славутич
Здолбунов	Здолбунів
Берегово	Берегове
Гадяч	Гадяч
Казатин	Козятин
Золочев	Золочів
Селидово	Селидове
Броды	Броди
Вольногорск	Вільногірськ
Знаменка	
Докучаевск	Докучаєвськ
Кролевец	Кролевець
Саки	Сакай
Волноваха	Волноваха
Молодогвардейск	Молодогвардійськ
Ладыжин	Ладижин
Лиман	Лиман
Мерефа	Мерефа
Армянск	Армянськ
Надворная	Надвірна
Люботин	Люботин
Попасная	Попасна
Полонное	Полонне
Кременец	Кременець
Сокаль	Сокаль
Красноград	Красноград
Тростянец	Тростянець
Стебник	Стебник
Суходольск	Суходільськ
Долина	Долина
Килия	Чи́лі
Яготин	Яготин
Кременная	
Геническ	Генічеськ
Курахово	Курахове
Пологи	Пологи
Красилов	Красилів
Волочиск	Волочиськ
Подгородное	Підгородне
Долинская	Долинська
Днепрорудное	Дніпрорудне
Рени	Ренн
Калиновка	
Балта	Балта
Волчанск	
Пятихатки	П’ятихатки
Скадовск	Скадовськ
Амвросиевка	Амвросіївка
Корсунь-Шевченковский	Корсунь-Шевченківський
Бахмач	Бахмач
Зугрес	Зугрес
Бережаны	Бережани
Белогорск	
Дергачи	
Сватово	Сватове
Старобельск	Старобільськ
Раздельная	
Лутугино	Лутугине
Звенигородка	Звенигородка
Новоукраинка	
Шпола	Шпола
Ватутино	Ватутіне
Изяслав	Ізяслав
Свалява	Свалява
Богуслав	Богуслав
Верхнеднепровск	Верхньодніпровськ
Городок	Городок
Белополье	Білопілля
Сквира	Сквира
Березань	Березань
Винники	Винники
Овруч	Овруч
Бар	Барр
Дунаевцы	Дунаївці
Путивль	Путивль
Городок	Городок
Пирятин	Пирятин
Белозёрское	Білозерське
Красногоровка	Красногорівка
Тульчин	Тульчин
Иловайск	Іловайськ
Вольнянск	Вільнянськ
Украинка	
Острог	Острог
Богодухов	Богодухів
Новый Буг	Новий Буг
Болград	Болград
Вознесеновка	
Николаевка	
Судак	Судак
Бурштын	Бурштин
Угледар	Вугледар
Рахов	Рахів
Новогродовка	Новогродівка
Орехов	Оріхів
Змиёв	Зміїв
Гайворон	Гайворон
Карловка	
Арциз	Арциз
Николаев	Миколаїв
Радомышль	
Голая Пристань	Гола Пристань
Очаков	Очаків
Киверцы	Ківерці
Сторожинец	Сторожинець
Золотое	Золоте
Апостолово	Апостолове
Городище	
Гуляйполе	Гуляйполе
Тальное	Тальне
Жашков	Жашків
Збараж	Збараж
Носовка	Носівка
Бунге	Юнокомунарівськ
Васильевка	
Зеленодольск	Зеленодольськ
Часов Яр	Часів Яр
Новгород-Северский	Новгород-Сіверський
Кагарлык	Кагарлик
Теребовля	Теребовля
Жолква	Жовква
Хорол	Хорол
Березно	Березне
Каменка-Днепровская	Кам’янка-Дніпровська
Рожище	Рожище
Тетиев	Тетіїв
Петрово-Красноселье	
Корюковка	Корюківка
Бершадь	Бершадь
Берислав	Берислав
Яворов	Яворів
Снигирёвка	Снігурівка
Баштанка	Баштанка
Бучач	Бучач
Счастье	Щастя
Гнивань	Гнівань
Городня	Городня
Каменка	
Ждановка	
Новая Одесса	Нова Одеса
Приморск	
Камень-Каширский	Камінь-Каширський
Мена	Мен
Узин	Узин
Светлодарск	Світлодарськ
Северск	Сєверськ
Инкерман	Інкерман
Беляевка	Біляївка
Барановка	Баранівка
Украинск	Українськ
Немиров	Немирів
Мироновка	
Лохвица	Лохвиця
Новоазовск	Новоазовськ
Боково-Хрустальное	
Кальмиусское	
Соледар	Соледар
Горняк	
Новомиргород	Новомиргород
Сновск	Сновськ
Ичня	Ічня
Сосновка	
Ильинцы	
Ямполь	Ямпіль
Бобровица	
Тараща	Туреччина
Борщёв	Борщів
Щёлкино	Щолкіне
Жидачов	Жидачів
Малая Виска	Мала Виска
Бобринец	Бобринець
Татарбунары	Татарбунари
Таврийск	Таврійськ
Гребёнка	Гребінка
Христиновка	Христинівка
Моспино	Моспине
Каменка-Бугская	Кам’янка-Бузька
Болехов	Болехів
Новоднестровск	Новодністровськ
Родинское	Родинське
Радивилов	Радивилів
Борзна	Борзна
Деражня	Деражня
Любомль	Любомль
Теплодар	Теплодар
Олевск	Олевськ
Перещепино	Перещепине
Дубляны	Дубляни
Снятын	Снятин
Кобеляки	Кобеляки
Горское	Гірське
Верховцево	Верхівцеве
Глобино	Глобине
Зеньков	Зіньків
Ирмино	Ірміно
Зимогорье	Зимогір’я
Марьинка	Мар’їнка
Погребище	Погребище
Ходоров	Ходорів
Березовка	Березівка
Радехов	Радехів
Хотин	Хотин
Старый Крым	Старий Крим
Барвенково	Барвінкове
Дубровица	Дубровиця
Тисмениця	Тисмениця
Решетиловка	Решетилівка
Сокиряны	Сокиряни
Городенка	Городенка
Залещики	Заліщики
Валки	Валки
Мостиска	Мостиська
Чигирин	Чигирин
Иршава	Іршава
Пустомыты	Пустомити
Помошная	Помічна
Горохов	Горохів
Тячев	Тячів
Бурынь	Буринь
Чоп	Чоп
Монастырище	Монастирище
Андрушёвка	Андрушівка
Тлумач	Тлумач
Кодыма	Кодима
Лановцы	Ланівці
Липовец	Липовець
Белицкое	Білицьке
Косов	Косів
Ананьев	Ананьїв
Заводское	Заводське
Алупка	Алупка
Рава-Русская	Рава-Руська
Семеновка	
Буск	Буськ
Вилково	Вилкове
Яремче	Яремче
Рогатин	Рогатин
Заставна	Заставна
Пивденное	Південне
Почаев	Почаїв
Новоселица	Нова Седліца
Углегорск	
Новодружеск	Новодружеськ
Приволье	Привілля
Ржищев	Ржищів
Кипуче	Кипуче
Ворожба	Ворожба
Корец	Корець
Зоринск	Зоринськ
Турка	Турка
Середина-Буда	Середина-Буда
Хоростков	Хоростків
Шаргород	Шаргород
Молочанск	Молочанськ
Перемышляны	Перемишляни
Копычинцы	Копичинці
Зборов	Зборов
Перечин	Перечин
Кицмань	Кіцмань
Старый Самбор	Старий Самбір
Александровск	
Судовая Вишня	Судова Вишня
Сколе	Сколе
Остер	Остер
Галич	Галич
Великие Мосты	Великі Мости
Благовещенское	
